pl_name,hostname,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,pl_radj,pl_dens,pl_eqt,pl_insol,st_teff,st_mass,st_rad,st_lum,st_met,st_spectype,discoverymethod,disc_year,pl_orbincl,planet_type
Kepler-317 c,Kepler-317,8.77508519,0.0827,0.0,,0.16504623,,816.0,104.68,5497.0,0.978,0.936,,0.26,,Transit,2014.0,88.81,DesertWorld
Kepler-128 c,Kepler-128,22.8029808,0.1664,0.0,,0.12668413,,846.0,120.93,6072.0,1.184,1.659,,-0.09,,Transit,2013.0,88.81,DesertWorld
Kepler-57 c,Kepler-57,11.60907117,0.0961,0.0,,4.07262723,,674.0,48.72,5324.0,0.884,0.791,,-0.04,,Transit,2012.0,79.64,GasGiant
Kepler-288 b,Kepler-288,6.09750607,0.0638,0.0,,0.14631125,,1068.0,307.62,5918.0,0.931,1.068,,-0.22,,Transit,2014.0,89.38,DesertWorld
Kepler-55 f,Kepler-55,10.19851808,0.0795,0.0,,0.14274268,,572.0,25.25,4505.0,0.645,0.658,,-0.2,,Transit,2014.0,88.81,EarthLike
Kepler-281 b,Kepler-281,14.64613058,0.1166,0.0,,0.19805548,,694.0,54.95,5717.0,0.984,0.884,,0.0,,Transit,2014.0,88.09,SuperEarth
Kepler-280 c,Kepler-280,4.807103254,0.0544,0.0,,0.26407397,,1088.0,330.84,5534.0,0.926,1.08,,0.14,,Transit,2014.0,86.65,MiniNeptune
Kepler-411 b,Kepler-411,3.005156,0.0375,0.146,0.0805462,0.21420287,10.3,1138.0,,,0.87,0.82,,,K2 V,Transit,2013.0,87.4,MiniNeptune
Kepler-276 d,Kepler-276,48.6478543,0.2642,0.0,,0.3693467,,489.0,13.57,5779.0,1.037,0.974,,0.14,,Transit,2013.0,87.42,MiniNeptune
Kepler-318 c,Kepler-318,11.8150013,0.1053,0.0,,0.40949308,,973.0,211.78,5903.0,1.113,1.47,,0.16,,Transit,2014.0,89.95,MiniNeptune
Kepler-799 c,Kepler-799,15.19421803,0.1247,0.0,,0.17129122,,762.0,79.65,6063.0,1.117,1.012,,0.07,,Transit,2021.0,89.95,SuperEarth
Kepler-1207 b,Kepler-1207,13.68237119,0.1156,0.0,,0.13649769,,802.0,97.74,6102.0,1.099,1.026,,0.0,,Transit,2016.0,87.66,DesertWorld
Kepler-393 c,Kepler-393,14.6134781,0.1208,0.0,,0.09991988,,901.0,155.87,6194.0,1.098,1.314,,-0.04,,Transit,2014.0,89.77,DesertWorld
Kepler-1206 b,Kepler-1206,1.217000383,0.0201,0.0,,0.1409584,,1314.0,707.61,4859.0,0.734,0.757,,-0.02,,Transit,2016.0,89.77,DesertWorld
Kepler-394 c,Kepler-394,12.13070414,0.108,0.0,,0.14363483,,901.0,155.85,6398.0,1.141,1.101,,-0.14,,Transit,2014.0,89.8,DesertWorld
Kepler-139 c,Kepler-139,157.0659976,0.5749,0.0,,0.23463329,,350.0,3.53,5620.0,1.025,1.143,,0.34,,Transit,2014.0,90.0,MiniNeptune
Kepler-1830 b,Kepler-1830,56.4932269,0.2964,0.0,,0.1900262,,530.0,18.62,6412.0,1.084,1.04,,-0.3,,Transit,2021.0,89.38,SuperEarth
Kepler-98 b,Kepler-98,1.541676628,0.026,0.0,,0.1623698,,1437.0,1007.55,5580.0,0.989,0.886,,0.14,,Transit,2014.0,74.48,DesertWorld
Kepler-1987 b,Kepler-1987,2.345858578,0.0318,0.0,,0.11330201,,1003.0,239.43,4750.0,0.778,0.729,,0.12,,Transit,2023.0,89.95,DesertWorld
Kepler-1831 b,Kepler-1831,5.78388573,0.0655,0.0,,0.20697689,,1051.0,288.69,6063.0,1.117,1.012,,0.07,,Transit,2021.0,89.95,DesertWorld
Kepler-394 d,Kepler-394,5.61357629,0.0647,0.0,,0.13382127,,1197.0,485.48,6426.0,1.145,1.154,,-0.12,,Transit,2021.0,88.81,DesertWorld
Kepler-1832 b,Kepler-1832,3.138781,0.037,0.0,,0.08742989,,1021.0,257.32,5242.0,0.684,0.722,,-0.54,,Transit,2021.0,89.38,DesertWorld
Kepler-395 b,Kepler-395,7.05427318,0.0537,0.0,,0.06958706,,450.0,9.66,3735.0,0.413,0.4,,-0.5,,Transit,2014.0,89.95,EarthLike
Kepler-381 c,Kepler-381,13.39155154,0.1173,0.0,,0.1409584,,1180.0,459.23,6197.0,1.198,2.188,,-0.32,,Transit,2014.0,88.8,DesertWorld
Kepler-1828 b,Kepler-1828,10.27380957,0.0924,0.0,,0.14987982,,799.0,96.27,5806.0,0.996,0.899,,-0.04,,Transit,2021.0,89.71,EarthLike
Kepler-1205 b,Kepler-1205,1.078389713,0.0196,0.0,,0.17664407,,1667.0,1817.38,5325.0,0.857,0.985,,0.14,,Transit,2016.0,76.41,DesertWorld
Kepler-1204 b,Kepler-1204,85.7350285,0.3877,0.0,,0.28013252,,448.0,9.54,6096.0,1.054,1.077,,-0.04,,Transit,2016.0,89.95,MiniNeptune
Kepler-292 b,Kepler-292,2.58082149,0.0358,0.0,,0.14720339,,1229.0,540.05,5513.0,0.921,0.915,,0.08,,Transit,2014.0,86.52,DesertWorld
Kepler-1829 b,Kepler-1829,5.18674073,0.0559,0.0,,0.19805548,,862.0,130.81,5231.0,0.869,0.781,,0.0,,Transit,2021.0,89.38,DesertWorld
Kepler-292 c,Kepler-292,3.71545391,0.0457,0.0,,0.15969338,,1088.0,331.41,5513.0,0.921,0.915,,0.08,,Transit,2014.0,88.81,DesertWorld
Kepler-126 d,Kepler-126,100.2830675,0.4312,0.0,,0.22392759,,475.0,12.07,6214.0,1.059,1.297,,-0.16,,Transit,2014.0,89.5,MiniNeptune
Kepler-1266 c,Kepler-1266,4.86634094,0.052,0.0,,0.17307551,,881.0,142.39,4996.0,0.791,0.831,,0.14,,Transit,2021.0,84.73,DesertWorld
Kepler-385 b,Kepler-385,10.04378351,0.0957,0.0,,0.26228968,,951.0,193.39,6325.0,1.157,1.112,,-0.04,,Transit,2014.0,79.64,MiniNeptune
Kepler-382 b,Kepler-382,5.26212693,0.0548,0.0,,0.1302527,,1019.0,255.13,5594.0,0.793,0.935,,-0.32,,Transit,2014.0,84.8,DesertWorld
Kepler-1213 b,Kepler-1213,5.34982412,0.0599,0.0,,0.08207704,,1109.0,357.79,6204.0,0.997,0.984,,-0.3,,Transit,2016.0,89.38,DesertWorld
Kepler-387 c,Kepler-387,11.8376933,0.0953,0.0,,0.08921418,,826.0,110.03,5772.0,0.824,1.003,,-0.38,,Transit,2014.0,88.58,DesertWorld
Kepler-1212 b,Kepler-1212,12.94130146,0.1082,0.0,,0.1579091,,795.0,94.29,6119.0,1.01,0.938,,-0.26,,Transit,2016.0,89.38,EarthLike
